Arrest ID,Year,Month,Arrest Type,Arrest Charge,Ward,Division,Arrestee Race/Ethnicity,Arrestee Sex
2020000011,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,American Indian/Alaska Native,Male
2020000019,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000063,2020,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2020000093,2020,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Unknown/Not Recorded,Male
2020000151,2020,January,Felony,ARS 13-1304: Kidnapping,5,South,Black/African American,Male
2020000162,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000255,2020,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Black/African American,Male
2020000255,2020,January,Felony,ARS 13-1903: Aggravated robbery,6,Midtown,Black/African American,Male
2020000264,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,5,South,Black/African American,Male
2020000264,2020,January,Felony,ARS 13-3107: Unlawful discharge of firearms,5,South,Black/African American,Male
2020000282,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,3,West,Hispanic/Latino,Male
2020000323,2020,January,Felony,ARS 13-1902: Robbery,4,Midtown,Black/African American,Male
2020000323,2020,January,Felony,ARS 13-1903: Aggravated robbery,4,Midtown,Black/African American,Male
2020000327,2020,January,Felony,ARS 13-1902: Robbery,2,East,White,Male
2020000327,2020,January,Felony,ARS 13-1903: Aggravated robbery,2,East,White,Male
2020000357,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,1,South,Black/African American,Male
2020000414,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000414,2020,January,Felony,ARS 13-1304: Kidnapping,5,South,Hispanic/Latino,Male
2020000532,2020,January,Felony,ARS 13-1105: First degree murder,5,Midtown,Hispanic/Latino,Male
2020000545,2020,January,Felony,ARS 13-1902: Robbery,4,East,Black/African American,Male
2020000559,2020,January,Felony,ARS 13-1406: Sexual assault,3,West,Black/African American,Male
2020000582,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,2,East,Hispanic/Latino,Male
2020000586,2020,January,Felony,ARS 13-1902: Robbery,2,East,Black/African American,Male
2020000623,2020,January,Felony,ARS 13-1204: Aggravated assault,1,West,White,Male
2020000623,2020,January,Felony,ARS 13-1904: Armed robbery,1,West,White,Male
2020000646,2020,January,Felony,ARS 13-1204: Aggravated assault,1,West,White,Male
2020000646,2020,January,Felony,ARS 13-1904: Armed robbery,1,West,White,Male
2020000755,2020,January,Felony,ARS 13-1903: Aggravated robbery,1,South,Hispanic/Latino,Male
2020000755,2020,January,Felony,ARS 13-1904: Armed robbery,1,South,Hispanic/Latino,Male
2020000760,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000805,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000805,2020,January,Felony,ARS 13-1304: Kidnapping,5,South,Hispanic/Latino,Male
2020000805,2020,January,Felony,ARS 13-3601: Domestic violence,5,South,Hispanic/Latino,Male
2020000809,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000851,2020,January,Felony,ARS 13-1508: Burglary in the first degree,2,East,Black/African American,Male
2020000859,2020,January,Felony,ARS 13-1703: Arson of a structure or property,5,South,Hispanic/Latino,Male
2020000865,2020,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2020000867,2020,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2020000867,2020,January,Felony,ARS 13-1903: Aggravated robbery,1,South,Hispanic/Latino,Male
2020000867,2020,January,Felony,ARS 13-1904: Armed robbery,1,South,Hispanic/Latino,Male
2020000868,2020,January,Felony,ARS 13-1204: Aggravated assault,-,Unknown/Not Recorded,Hispanic/Latino,Male
2020000873,2020,January,Felony,ARS 13-3601: Domestic violence,1,South,White,Male
2020000879,2020,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2020000881,2020,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Hispanic/Latino,Male
2020000961,2020,January,Felony,ARS 13-3601: Domestic violence,1,South,Hispanic/Latino,Male
2020000967,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,6,Midtown,Hispanic/Latino,Male
2020000968,2020,January,Felony,ARS 13-1405: Sexual conduct with a minor,3,West,Unknown/Not Recorded,Male
2020000968,2020,January,Felony,ARS 13-1410: Molestation of a child,3,West,Unknown/Not Recorded,Male
2020000971,2020,January,Felony,ARS 13-1902: Robbery,5,South,Black/African American,Male
2020000971,2020,January,Felony,ARS 13-1903: Aggravated robbery,5,South,Black/African American,Male
2020000977,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,6,Midtown,Hispanic/Latino,Male
2020001077,2020,January,Felony,ARS 13-1204: Aggravated assault,3,Midtown,Black/African American,Male
2020001121,2020,January,Felony,ARS 13-3553: Sexual exploitation of a minor,4,East,White,Male
2020001135,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,6,West,Hispanic/Latino,Male
2020001149,2020,January,Felony,ARS 13-1304: Kidnapping,1,South,Black/African American,Male
2020001149,2020,January,Felony,ARS 13-1903: Aggravated robbery,1,South,Black/African American,Male
2020001149,2020,January,Felony,ARS 13-1904: Armed robbery,1,South,Black/African American,Male
2020001154,2020,January,Felony,ARS 13-1903: Aggravated robbery,-,Unknown/Not Recorded,Black/African American,Male
2020001168,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,3,West,Hispanic/Latino,Female
2020001194,2020,January,Felony,ARS 13-3601: Domestic violence,6,Midtown,Black/African American,Male
2020001239,2020,January,Felony,ARS 13-1204: Aggravated assault,-,Unknown/Not Recorded,Hispanic/Latino,Male
2020001239,2020,January,Felony,ARS 13-1904: Armed robbery,-,Unknown/Not Recorded,Hispanic/Latino,Male
2020001240,2020,January,Felony,ARS 13-1902: Robbery,6,Midtown,White,Male
2020001260,2020,January,Felony,ARS 13-1204: Aggravated assault,3,West,Unknown/Not Recorded,Female
2020001279,2020,January,Felony,ARS 13-1903: Aggravated robbery,3,West,Black/African American,Male
2020001286,2020,January,Felony,ARS 13-1204: Aggravated assault,4,East,Hispanic/Latino,Male
2020001286,2020,January,Felony,ARS 13-1304: Kidnapping,4,East,Hispanic/Latino,Male
2020001286,2020,January,Felony,ARS 13-3601: Domestic violence,4,East,Hispanic/Latino,Male
2020001314,2020,January,Felony,ARS 13-1204: Aggravated assault,2,Midtown,Black/African American,Male
2020001336,2020,January,Felony,ARS 13-1204: Aggravated assault,4,East,Hispanic/Latino,Male
2020001336,2020,January,Felony,ARS 13-1304: Kidnapping,4,East,Hispanic/Latino,Male
2020001390,2020,January,Felony,ARS 13-1704: Arson of an occupied structure,6,Midtown,White,Male
2020001400,2020,January,Felony,ARS 13-1204: Aggravated assault,3,West,White,Male
2020001434,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,2,East,White,Male
2020001448,2020,January,Felony,ARS 13-1204: Aggravated assault,3,West,Hispanic/Latino,Male
2020001448,2020,January,Felony,ARS 13-1903: Aggravated robbery,3,West,Hispanic/Latino,Male
2020001448,2020,January,Felony,ARS 13-1904: Armed robbery,3,West,Hispanic/Latino,Male
2020001448,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,3,West,Hispanic/Latino,Male
2020001451,2020,January,Felony,ARS 13-1903: Aggravated robbery,3,West,White,Male
2020001452,2020,January,Felony,ARS 13-1904: Armed robbery,5,South,American Indian/Alaska Native,Male
2020001453,2020,January,Felony,ARS 13-1204: Aggravated assault,3,West,Hispanic/Latino,Male
2020001523,2020,January,Felony,ARS 13-3553: Sexual exploitation of a minor,6,East,White,Male
2020001565,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,5,South,Hispanic/Latino,Male
2020001581,2020,January,Felony,ARS 13-3601: Domestic violence,6,East,White,Male
2020001587,2020,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,American Indian/Alaska Native,Male
2020001598,2020,January,Felony,ARS 13-1204: Aggravated assault,3,Midtown,White,Male
2020001647,2020,January,Felony,ARS 13-1904: Armed robbery,5,South,Black/African American,Male
2020001657,2020,January,Felony,ARS 13-1903: Aggravated robbery,4,East,Hispanic/Latino,Female
2020001657,2020,January,Felony,ARS 13-1904: Armed robbery,4,East,Hispanic/Latino,Female
2020001658,2020,January,Felony,ARS 13-1903: Aggravated robbery,4,East,Hispanic/Latino,Male
2020001658,2020,January,Felony,ARS 13-1904: Armed robbery,4,East,Hispanic/Latino,Male
2020001678,2020,January,Felony,ARS 13-1902: Robbery,6,West,White,Male
2020001700,2020,January,Felony,ARS 13-1204: Aggravated assault,1,West,Hispanic/Latino,Male
2020001700,2020,January,Felony,ARS 13-1304: Kidnapping,1,West,Hispanic/Latino,Male
2020001700,2020,January,Felony,ARS 13-1904: Armed robbery,1,West,Hispanic/Latino,Male
2020001705,2020,January,Felony,ARS 13-1204: Aggravated assault,1,West,Hispanic/Latino,Male
2020001705,2020,January,Felony,ARS 13-1304: Kidnapping,1,West,Hispanic/Latino,Male
2020001705,2020,January,Felony,ARS 13-1904: Armed robbery,1,West,Hispanic/Latino,Male
2020001717,2020,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Black/African American,Male
2020001724,2020,January,Felony,ARS 13-1902: Robbery,6,Midtown,White,Female
2020001728,2020,January,Felony,ARS 13-3102: Misconduct involving weapons,4,East,Black/African American,Male
2020001780,2020,January,Felony,ARS 13-1304: Kidnapping,3,Midtown,Hispanic/Latino,Male
2020001792,2020,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2020001803,2020,January,Felony,ARS 13-3601: Domestic violence,5,South,Asian,Male
2020001813,2020,January,Felony,ARS 13-1903: Aggravated robbery,-,Unknown/Not Recorded,Hispanic/Latino,Male
2020001813,2020,January,Felony,ARS 13-1904: Armed robbery,-,Unknown/Not Recorded,Hispanic/Latino,Male
