arrest_id,year,month,arrest_type,arrest_charge,ward,division,arrestee_Race-Ethnicity,arrestee_sex
1780343,2021,April,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2021000013,2021,January,Felony,ARS 13-1204: Aggravated assault,3,Midtown,White,Male
2021000013,2021,January,Felony,ARS 13-1904: Armed robbery,3,Midtown,White,Male
2021000020,2021,January,Felony,ARS 13-1204: Aggravated assault,3,West,Black/African American,Male
2021000030,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,5,Midtown,Hispanic/Latino,Male
2021000052,2021,January,Felony,ARS 13-3601: Domestic violence,1,West,Hispanic/Latino,Male
2021000092,2021,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Female
2021000096,2021,January,Felony,ARS 13-3601: Domestic violence,1,South,Black/African American,Male
2021000112,2021,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Black/African American,Male
2021000112,2021,January,Felony,ARS 13-1304: Kidnapping,6,Midtown,Black/African American,Male
2021000142,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,5,South,White,Male
2021000168,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,2,East,Black/African American,Male
2021000178,2021,January,Felony,ARS 13-3601: Domestic violence,5,South,Hispanic/Latino,Male
2021000194,2021,January,Felony,ARS 13-1204: Aggravated assault,4,East,Black/African American,Female
2021000208,2021,January,Felony,ARS 13-1204: Aggravated assault,3,Midtown,Hispanic/Latino,Male
2021000209,2021,January,Felony,ARS 13-3601: Domestic violence,5,Midtown,Hispanic/Latino,Male
2021000213,2021,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,White,Male
2021000224,2021,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2021000225,2021,January,Felony,ARS 13-1204: Aggravated assault,3,West,Black/African American,Male
2021000229,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,3,West,Hispanic/Latino,Male
2021000242,2021,January,Felony,ARS 13-1204: Aggravated assault,5,South,Hispanic/Latino,Male
2021000242,2021,January,Felony,ARS 13-1304: Kidnapping,5,South,Hispanic/Latino,Male
2021000346,2021,January,Felony,ARS 13-1904: Armed robbery,1,West,Hispanic/Latino,Male
2021000353,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,6,East,Black/African American,Female
2021000356,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,2,East,Black/African American,Male
2021000357,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,5,Midtown,Black/African American,Male
2021000368,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,6,Midtown,White,Male
2021000382,2021,January,Felony,ARS 13-1204: Aggravated assault,6,East,Black/African American,Male
2021000382,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,6,East,Black/African American,Male
2021000419,2021,January,Felony,ARS 13-1105: First degree murder,2,East,Hispanic/Latino,Male
2021000419,2021,January,Felony,ARS 13-1903: Aggravated robbery,2,East,Hispanic/Latino,Male
2021000419,2021,January,Felony,ARS 13-1904: Armed robbery,2,East,Hispanic/Latino,Male
2021000461,2021,January,Felony,ARS 13-1204: Aggravated assault,3,West,Black/African American,Male
2021000461,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,3,West,Black/African American,Male
2021000461,2021,January,Felony,ARS 13-3601: Domestic violence,3,West,Black/African American,Male
2021000474,2021,January,Felony,ARS 13-1904: Armed robbery,5,Midtown,Hispanic/Latino,Male
2021000488,2021,January,Felony,ARS 13-1204: Aggravated assault,1,South,White,Male
2021000523,2021,January,Felony,ARS 13-3601: Domestic violence,3,West,White,Male
2021000544,2021,January,Felony,ARS 13-1204: Aggravated assault,4,East,Black/African American,Male
2021000544,2021,January,Felony,ARS 13-1508: Burglary in the first degree,4,East,Black/African American,Male
2021000546,2021,January,Felony,ARS 13-1204: Aggravated assault,4,East,Black/African American,Male
2021000546,2021,January,Felony,ARS 13-1508: Burglary in the first degree,4,East,Black/African American,Male
2021000546,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,4,East,Black/African American,Male
2021000577,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,5,Midtown,Black/African American,Male
2021000607,2021,January,Felony,ARS 13-3601: Domestic violence,2,East,Asian,Male
2021000623,2021,January,Felony,ARS 13-1204: Aggravated assault,2,East,White,Male
2021000637,2021,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,White,Male
2021000648,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,1,South,Hispanic/Latino,Female
2021000649,2021,January,Felony,ARS 13-1204: Aggravated assault,6,Midtown,Black/African American,Male
2021000651,2021,January,Felony,ARS 13-1204: Aggravated assault,4,East,Black/African American,Male
2021000683,2021,January,Felony,ARS 13-1904: Armed robbery,6,East,White,Male
2021000710,2021,January,Felony,ARS 13-3601: Domestic violence,1,South,Hispanic/Latino,Female
2021000755,2021,January,Felony,ARS 13-1204: Aggravated assault,4,East,White,Male
2021000767,2021,January,Felony,ARS 13-1904: Armed robbery,6,West,Hispanic/Latino,Male
2021000770,2021,January,Felony,ARS 13-1204: Aggravated assault,-,Unknown/Not Recorded,Hispanic/Latino,Male
2021000770,2021,January,Felony,ARS 13-1304: Kidnapping,-,Unknown/Not Recorded,Hispanic/Latino,Male
2021000770,2021,January,Felony,ARS 13-1508: Burglary in the first degree,-,Unknown/Not Recorded,Hispanic/Latino,Male
2021000770,2021,January,Felony,ARS 13-1904: Armed robbery,-,Unknown/Not Recorded,Hispanic/Latino,Male
2021000776,2021,January,Felony,ARS 13-1904: Armed robbery,1,South,Hispanic/Latino,Male
2021000777,2021,January,Felony,ARS 13-3107: Unlawful discharge of firearms,2,East,Black/African American,Male
2021000799,2021,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Female
2021000817,2021,January,Felony,ARS 13-1204: Aggravated assault,3,Midtown,Hispanic/Latino,Male
2021000845,2021,January,Felony,ARS 13-1204: Aggravated assault,1,South,Hispanic/Latino,Male
2021000845,2021,January,Felony,ARS 13-3102: Misconduct involving weapons,1,South,Hispanic/Latino,Male
